dexnumber, species, form, type1, type2, base catch rate, base flee rate, stamina, attack, defense, quick moves, charge moves, elite quick moves, elite charge moves, third move dust, third move candy, purify dust, purify candy
5,CHARMELEON,SHADOW,POKEMON_TYPE_FIRE,,0.05,0.07, 151, 158, 126, EMBER_FAST FIRE_FANG_FAST,FIRE_PUNCH FLAME_BURST FLAMETHROWER, SCRATCH_FAST, , 12000,30, 3000, 3
6,CHARIZARD,,POKEMON_TYPE_FIRE,POKEMON_TYPE_FLYING,0.05,0.05, 186, 223, 173, FIRE_SPIN_FAST AIR_SLASH_FAST,FIRE_BLAST DRAGON_CLAW OVERHEAT, EMBER_FAST WING_ATTACK_FAST DRAGON_BREATH_FAST, BLAST_BURN FLAMETHROWER, 10000,25, , 
6,CHARIZARD,MEGA_X,POKEMON_TYPE_FIRE,POKEMON_TYPE_DRAGON,0.05,0.05, 186, 273, 213, FIRE_SPIN_FAST AIR_SLASH_FAST,FIRE_BLAST DRAGON_CLAW OVERHEAT, EMBER_FAST WING_ATTACK_FAST DRAGON_BREATH_FAST, BLAST_BURN FLAMETHROWER, 10000,25, , 
6,CHARIZARD,MEGA_Y,POKEMON_TYPE_FIRE,POKEMON_TYPE_FLYING,0.05,0.05, 186, 319, 212, FIRE_SPIN_FAST AIR_SLASH_FAST,FIRE_BLAST DRAGON_CLAW OVERHEAT, EMBER_FAST WING_ATTACK_FAST DRAGON_BREATH_FAST, BLAST_BURN FLAMETHROWER, 10000,25, , 
6,CHARIZARD,COPY_2019,POKEMON_TYPE_FIRE,POKEMON_TYPE_FLYING,0.05,0.05, 186, 223, 173, FIRE_SPIN_FAST AIR_SLASH_FAST,FIRE_BLAST DRAGON_CLAW OVERHEAT, EMBER_FAST WING_ATTACK_FAST DRAGON_BREATH_FAST, BLAST_BURN FLAMETHROWER, 10000,25, , 
6,CHARIZARD,NORMAL,POKEMON_TYPE_FIRE,POKEMON_TYPE_FLYING,0.05,0.05, 186, 223, 173, FIRE_SPIN_FAST AIR_SLASH_FAST,FIRE_BLAST DRAGON_CLAW OVERHEAT, EMBER_FAST WING_ATTACK_FAST DRAGON_BREATH_FAST, BLAST_BURN FLAMETHROWER, 10000,25, , 
6,CHARIZARD,PURIFIED,POKEMON_TYPE_FIRE,POKEMON_TYPE_FLYING,0.05,0.05, 186, 223, 173, FIRE_SPIN_FAST AIR_SLASH_FAST,FIRE_BLAST DRAGON_CLAW OVERHEAT, EMBER_FAST WING_ATTACK_FAST DRAGON_BREATH_FAST, BLAST_BURN FLAMETHROWER, 8000,20, , 
6,CHARIZARD,SHADOW,POKEMON_TYPE_FIRE,POKEMON_TYPE_FLYING,0.05,0.05, 186, 223, 173, FIRE_SPIN_FAST AIR_SLASH_FAST,FIRE_BLAST DRAGON_CLAW OVERHEAT, EMBER_FAST WING_ATTACK_FAST DRAGON_BREATH_FAST, BLAST_BURN FLAMETHROWER, 12000,30, 3000, 3
7,SQUIRTLE,,POKEMON_TYPE_WATER,,0.2,0.1, 127, 94, 121, BUBBLE_FAST TACKLE_FAST,AQUA_JET AQUA_TAIL WATER_PULSE, , , 10000,25, , 
7,SQUIRTLE,FALL_2019,POKEMON_TYPE_WATER,,0.2,0.1, 127, 94, 121, BUBBLE_FAST TACKLE_FAST,AQUA_JET AQUA_TAIL WATER_PULSE, , , 10000,25, , 
7,SQUIRTLE,NORMAL,POKEMON_TYPE_WATER,,0.2,0.1, 127, 94, 121, BUBBLE_FAST TACKLE_FAST,AQUA_JET AQUA_TAIL WATER_PULSE, , , 10000,25, , 
7,SQUIRTLE,PURIFIED,POKEMON_TYPE_WATER,,0.2,0.1, 127, 94, 121, BUBBLE_FAST TACKLE_FAST,AQUA_JET AQUA_TAIL WATER_PULSE, , , 8000,20, , 
7,SQUIRTLE,SHADOW,POKEMON_TYPE_WATER,,0.05,0.1, 127, 94, 121, BUBBLE_FAST TACKLE_FAST,AQUA_JET AQUA_TAIL WATER_PULSE, , , 12000,30, 3000, 3
8,WARTORTLE,,POKEMON_TYPE_WATER,,0.1,0.07, 153, 126, 155, WATER_GUN_FAST BITE_FAST,AQUA_JET ICE_BEAM HYDRO_PUMP, , , 10000,25, , 
8,WARTORTLE,NORMAL,POKEMON_TYPE_WATER,,0.1,0.07, 153, 126, 155, WATER_GUN_FAST BITE_FAST,AQUA_JET ICE_BEAM HYDRO_PUMP, , , 10000,25, , 
8,WARTORTLE,PURIFIED,POKEMON_TYPE_WATER,,0.1,0.07, 153, 126, 155, WATER_GUN_FAST BITE_FAST,AQUA_JET ICE_BEAM HYDRO_PUMP, , , 8000,20, , 
8,WARTORTLE,SHADOW,POKEMON_TYPE_WATER,,0.05,0.07, 153, 126, 155, WATER_GUN_FAST BITE_FAST,AQUA_JET ICE_BEAM HYDRO_PUMP, , , 12000,30, 3000, 3
9,BLASTOISE,,POKEMON_TYPE_WATER,,0.05,0.05, 188, 171, 207, WATER_GUN_FAST BITE_FAST,FLASH_CANNON ICE_BEAM HYDRO_PUMP SKULL_BASH, , HYDRO_CANNON, 10000,25, , 
9,BLASTOISE,MEGA,POKEMON_TYPE_WATER,,0.05,0.05, 188, 264, 237, WATER_GUN_FAST BITE_FAST,FLASH_CANNON ICE_BEAM HYDRO_PUMP SKULL_BASH, , HYDRO_CANNON, 10000,25, , 
9,BLASTOISE,COPY_2019,POKEMON_TYPE_WATER,,0.05,0.05, 188, 171, 207, WATER_GUN_FAST BITE_FAST,FLASH_CANNON ICE_BEAM HYDRO_PUMP SKULL_BASH, , HYDRO_CANNON, 10000,25, , 
9,BLASTOISE,NORMAL,POKEMON_TYPE_WATER,,0.05,0.05, 188, 171, 207, WATER_GUN_FAST BITE_FAST,FLASH_CANNON ICE_BEAM HYDRO_PUMP SKULL_BASH, , HYDRO_CANNON, 10000,25, , 
9,BLASTOISE,PURIFIED,POKEMON_TYPE_WATER,,0.05,0.05, 188, 171, 207, WATER_GUN_FAST BITE_FAST,FLASH_CANNON ICE_BEAM HYDRO_PUMP SKULL_BASH, , HYDRO_CANNON, 8000,20, , 
9,BLASTOISE,SHADOW,POKEMON_TYPE_WATER,,0.05,0.05, 188, 171, 207, WATER_GUN_FAST BITE_FAST,FLASH_CANNON ICE_BEAM HYDRO_PUMP SKULL_BASH, , HYDRO_CANNON, 12000,30, 3000, 3
10,CATERPIE,,POKEMON_TYPE_BUG,,0.5,0.2, 128, 55, 55, BUG_BITE_FAST TACKLE_FAST,STRUGGLE, , , 10000,25, , 
11,METAPOD,,POKEMON_TYPE_BUG,,0.25,0.09, 137, 45, 80, BUG_BITE_FAST TACKLE_FAST,STRUGGLE, , , 10000,25, , 
12,BUTTERFREE,,POKEMON_TYPE_BUG,POKEMON_TYPE_FLYING,0.125,0.06, 155, 167, 137, STRUGGLE_BUG_FAST CONFUSION_FAST,BUG_BUZZ PSYCHIC SIGNAL_BEAM, BUG_BITE_FAST, , 10000,25, , 
13,WEEDLE,,POKEMON_TYPE_BUG,POKEMON_TYPE_POISON,0.5,0.2, 120, 63, 50, BUG_BITE_FAST POISON_STING_FAST,STRUGGLE, , , 10000,25, , 
13,WEEDLE,NORMAL,POKEMON_TYPE_BUG,POKEMON_TYPE_POISON,0.5,0.2, 120, 63, 50, BUG_BITE_FAST POISON_STING_FAST,STRUGGLE, , , 10000,25, , 
13,WEEDLE,PURIFIED,POKEMON_TYPE_BUG,POKEMON_TYPE_POISON,0.5,0.2, 120, 63, 50, BUG_BITE_FAST POISON_STING_FAST,STRUGGLE, , , 8000,20, , 
13,WEEDLE,SHADOW,POKEMON_TYPE_BUG,POKEMON_TYPE_POISON,0.05,0.2, 120, 63, 50, BUG_BITE_FAST POISON_STING_FAST,STRUGGLE, , , 12000,30, 1000, 1
14,KAKUNA,,POKEMON_TYPE_BUG,POKEMON_TYPE_POISON,0.25,0.09, 128, 46, 75, BUG_BITE_FAST POISON_STING_FAST,STRUGGLE, , , 10000,25, , 
14,KAKUNA,NORMAL,POKEMON_TYPE_BUG,POKEMON_TYPE_POISON,0.25,0.09, 128, 46, 75, BUG_BITE_FAST POISON_STING_FAST,STRUGGLE, , , 10000,25, , 
14,KAKUNA,PURIFIED,POKEMON_TYPE_BUG,POKEMON_TYPE_POISON,0.25,0.09, 128, 46, 75, BUG_BITE_FAST POISON_STING_FAST,STRUGGLE, , , 8000,20, , 
14,KAKUNA,SHADOW,POKEMON_TYPE_BUG,POKEMON_TYPE_POISON,0.05,0.09, 128, 46, 75, BUG_BITE_FAST POISON_STING_FAST,STRUGGLE, , , 12000,30, 1000, 1
15,BEEDRILL,,POKEMON_TYPE_BUG,POKEMON_TYPE_POISON,0.125,0.06, 163, 169, 130, INFESTATION_FAST POISON_JAB_FAST,SLUDGE_BOMB AERIAL_ACE X_SCISSOR FELL_STINGER, BUG_BITE_FAST, DRILL_RUN, 10000,25, , 
15,BEEDRILL,MEGA,POKEMON_TYPE_BUG,POKEMON_TYPE_POISON,0.125,0.06, 163, 303, 148, INFESTATION_FAST POISON_JAB_FAST,SLUDGE_BOMB AERIAL_ACE X_SCISSOR FELL_STINGER, BUG_BITE_FAST, DRILL_RUN, 10000,25, , 
15,BEEDRILL,NORMAL,POKEMON_TYPE_BUG,POKEMON_TYPE_POISON,0.125,0.06, 163, 169, 130, INFESTATION_FAST POISON_JAB_FAST,SLUDGE_BOMB AERIAL_ACE X_SCISSOR FELL_STINGER, BUG_BITE_FAST, DRILL_RUN, 10000,25, , 
15,BEEDRILL,PURIFIED,POKEMON_TYPE_BUG,POKEMON_TYPE_POISON,0.125,0.06, 163, 169, 130, INFESTATION_FAST POISON_JAB_FAST,SLUDGE_BOMB AERIAL_ACE X_SCISSOR FELL_STINGER, BUG_BITE_FAST, DRILL_RUN, 8000,20, , 
15,BEEDRILL,SHADOW,POKEMON_TYPE_BUG,POKEMON_TYPE_POISON,0.05,0.06, 163, 169, 130, INFESTATION_FAST POISON_JAB_FAST,SLUDGE_BOMB AERIAL_ACE X_SCISSOR FELL_STINGER, BUG_BITE_FAST, DRILL_RUN, 12000,30, 1000, 1
16,PIDGEY,,POKEMON_TYPE_NORMAL,POKEMON_TYPE_FLYING,0.5,0.2, 120, 85, 73, QUICK_ATTACK_FAST TACKLE_FAST,TWISTER AERIAL_ACE AIR_CUTTER, , , 10000,25, , 
17,PIDGEOTTO,,POKEMON_TYPE_NORMAL,POKEMON_TYPE_FLYING,0.25,0.09, 160, 117, 105, WING_ATTACK_FAST STEEL_WING_FAST,TWISTER AERIAL_ACE AIR_CUTTER, , , 10000,25, , 
18,PIDGEOT,,POKEMON_TYPE_NORMAL,POKEMON_TYPE_FLYING,0.125,0.06, 195, 166, 154, AIR_SLASH_FAST STEEL_WING_FAST,HURRICANE AERIAL_ACE BRAVE_BIRD FEATHER_DANCE, WING_ATTACK_FAST GUST_FAST, AIR_CUTTER, 10000,25, , 
18,PIDGEOT,MEGA,POKEMON_TYPE_NORMAL,POKEMON_TYPE_FLYING,0.125,0.06, 195, 280, 175, AIR_SLASH_FAST STEEL_WING_FAST,HURRICANE AERIAL_ACE BRAVE_BIRD FEATHER_DANCE, WING_ATTACK_FAST GUST_FAST, AIR_CUTTER, 10000,25, , 
19,RATTATA,,POKEMON_TYPE_NORMAL,,0.5,0.2, 102, 103, 70, TACKLE_FAST QUICK_ATTACK_FAST,DIG HYPER_FANG BODY_SLAM, , , 10000,25, , 
19,RATTATA,ALOLA,POKEMON_TYPE_DARK,POKEMON_TYPE_NORMAL,0.5,0.2, 102, 103, 70, TACKLE_FAST QUICK_ATTACK_FAST,CRUNCH HYPER_FANG SHADOW_BALL, , , 10000,25, , 
19,RATTATA,NORMAL,POKEMON_TYPE_NORMAL,,0.5,0.2, 102, 103, 70, TACKLE_FAST QUICK_ATTACK_FAST,DIG HYPER_FANG BODY_SLAM, , , 10000,25, , 
19,RATTATA,PURIFIED,POKEMON_TYPE_NORMAL,,0.5,0.2, 102, 103, 70, TACKLE_FAST QUICK_ATTACK_FAST,DIG HYPER_FANG BODY_SLAM, , , 8000,20, , 
19,RATTATA,SHADOW,POKEMON_TYPE_NORMAL,,0.05,0.2, 102, 103, 70, TACKLE_FAST QUICK_ATTACK_FAST,DIG HYPER_FANG BODY_SLAM, , , 12000,30, 1000, 1
20,RATICATE,,POKEMON_TYPE_NORMAL,,0.2,0.07, 146, 161, 139, BITE_FAST QUICK_ATTACK_FAST,DIG HYPER_FANG HYPER_BEAM, , , 10000,25, , 
20,RATICATE,ALOLA,POKEMON_TYPE_DARK,POKEMON_TYPE_NORMAL,0.2,0.07, 181, 135, 154, BITE_FAST QUICK_ATTACK_FAST,CRUNCH HYPER_FANG HYPER_BEAM, , , 10000,25, , 
20,RATICATE,NORMAL,POKEMON_TYPE_NORMAL,,0.2,0.07, 146, 161, 139, BITE_FAST QUICK_ATTACK_FAST,DIG HYPER_FANG HYPER_BEAM, , , 10000,25, , 
20,RATICATE,PURIFIED,POKEMON_TYPE_NORMAL,,0.2,0.07, 146, 161, 139, BITE_FAST QUICK_ATTACK_FAST,DIG HYPER_FANG HYPER_BEAM, , , 8000,20, , 
20,RATICATE,SHADOW,POKEMON_TYPE_NORMAL,,0.05,0.07, 146, 161, 139, BITE_FAST QUICK_ATTACK_FAST,DIG HYPER_FANG HYPER_BEAM, , , 12000,30, 1000, 1
21,SPEAROW,,POKEMON_TYPE_NORMAL,POKEMON_TYPE_FLYING,0.5,0.15, 120, 112, 60, PECK_FAST QUICK_ATTACK_FAST,AERIAL_ACE DRILL_PECK SKY_ATTACK, , TWISTER, 10000,25, , 
22,FEAROW,,POKEMON_TYPE_NORMAL,POKEMON_TYPE_FLYING,0.2,0.07, 163, 182, 133, PECK_FAST STEEL_WING_FAST,AERIAL_ACE DRILL_RUN SKY_ATTACK, , TWISTER, 10000,25, , 
23,EKANS,,POKEMON_TYPE_POISON,,0.5,0.15, 111, 110, 97, POISON_STING_FAST ACID_FAST,WRAP POISON_FANG SLUDGE_BOMB, , GUNK_SHOT, 50000,50, , 
23,EKANS,NORMAL,POKEMON_TYPE_POISON,,0.5,0.15, 111, 110, 97, POISON_STING_FAST ACID_FAST,WRAP POISON_FANG SLUDGE_BOMB, , GUNK_SHOT, 50000,50, , 
23,EKANS,PURIFIED,POKEMON_TYPE_POISON,,0.5,0.15, 111, 110, 97, POISON_STING_FAST ACID_FAST,WRAP POISON_FANG SLUDGE_BOMB, , GUNK_SHOT, 40000,40, , 
23,EKANS,SHADOW,POKEMON_TYPE_POISON,,0.05,0.15, 111, 110, 97, POISON_STING_FAST ACID_FAST,WRAP POISON_FANG SLUDGE_BOMB, , GUNK_SHOT, 60000,60, 3000, 3
24,ARBOK,,POKEMON_TYPE_POISON,,0.2,0.07, 155, 167, 153, BITE_FAST ACID_FAST DRAGON_TAIL_FAST,DARK_PULSE SLUDGE_WAVE GUNK_SHOT ACID_SPRAY, , , 50000,50, , 
24,ARBOK,NORMAL,POKEMON_TYPE_POISON,,0.2,0.07, 155, 167, 153, BITE_FAST ACID_FAST DRAGON_TAIL_FAST,DARK_PULSE SLUDGE_WAVE GUNK_SHOT ACID_SPRAY, , , 50000,50, , 
24,ARBOK,PURIFIED,POKEMON_TYPE_POISON,,0.2,0.07, 155, 167, 153, BITE_FAST ACID_FAST DRAGON_TAIL_FAST,DARK_PULSE SLUDGE_WAVE GUNK_SHOT ACID_SPRAY, , , 40000,40, , 
24,ARBOK,SHADOW,POKEMON_TYPE_POISON,,0.05,0.07, 155, 167, 153, BITE_FAST ACID_FAST DRAGON_TAIL_FAST,DARK_PULSE SLUDGE_WAVE GUNK_SHOT ACID_SPRAY, , , 60000,60, 3000, 3
25,PIKACHU,,POKEMON_TYPE_ELECTRIC,,0.2,0.1, 111, 112, 96, THUNDER_SHOCK_FAST QUICK_ATTACK_FAST,DISCHARGE THUNDERBOLT WILD_CHARGE, PRESENT_FAST, SURF THUNDER, 10000,25, , 
25,PIKACHU,ADVENTURE_HAT_2020,POKEMON_TYPE_ELECTRIC,,0.2,0.1, 111, 112, 96, THUNDER_SHOCK_FAST QUICK_ATTACK_FAST,DISCHARGE THUNDERBOLT WILD_CHARGE, PRESENT_FAST, SURF THUNDER, 10000,25, , 
25,PIKACHU,COPY_2019,POKEMON_TYPE_ELECTRIC,,0.2,0.1, 111, 112, 96, THUNDER_SHOCK_FAST QUICK_ATTACK_FAST,DISCHARGE THUNDERBOLT WILD_CHARGE, PRESENT_FAST, SURF THUNDER, 10000,25, , 
25,PIKACHU,COSTUME_2020,POKEMON_TYPE_ELECTRIC,,0.2,0.1, 111, 112, 96, THUNDER_SHOCK_FAST QUICK_ATTACK_FAST,DISCHARGE THUNDERBOLT WILD_CHARGE FLY, , , 10000,25, , 
25,PIKACHU,FALL_2019,POKEMON_TYPE_ELECTRIC,,0.2,0.1, 111, 112, 96, THUNDER_SHOCK_FAST QUICK_ATTACK_FAST,DISCHARGE THUNDERBOLT WILD_CHARGE, PRESENT_FAST, SURF THUNDER, 10000,25, , 
25,PIKACHU,NORMAL,POKEMON_TYPE_ELECTRIC,,0.2,0.1, 111, 112, 96, THUNDER_SHOCK_FAST QUICK_ATTACK_FAST,DISCHARGE THUNDERBOLT WILD_CHARGE, PRESENT_FAST, SURF THUNDER, 10000,25, , 
25,PIKACHU,VS_2019,POKEMON_TYPE_ELECTRIC,,0.2,0.1, 111, 112, 96, THUNDER_SHOCK_FAST CHARM_FAST,FLYING_PRESS THUNDER_PUNCH PLAY_ROUGH, , , 10000,25, , 
25,PIKACHU,WINTER_2020,POKEMON_TYPE_ELECTRIC,,0.2,0.1, 111, 112, 96, THUNDER_SHOCK_FAST QUICK_ATTACK_FAST,DISCHARGE THUNDERBOLT WILD_CHARGE, PRESENT_FAST, SURF THUNDER, 10000,25, , 
26,RAICHU,,POKEMON_TYPE_ELECTRIC,,0.1,0.06, 155, 193, 151, VOLT_SWITCH_FAST SPARK_FAST CHARM_FAST THUNDER_SHOCK_FAST,BRICK_BREAK THUNDER_PUNCH WILD_CHARGE SKULL_BASH, , THUNDER, 10000,25, , 
26,RAICHU,ALOLA,POKEMON_TYPE_ELECTRIC,POKEMON_TYPE_PSYCHIC,0.1,0.06, 155, 201, 154, VOLT_SWITCH_FAST SPARK_FAST THUNDER_SHOCK_FAST,PSYCHIC THUNDER_PUNCH WILD_CHARGE GRASS_KNOT, , , 10000,25, , 
26,RAICHU,NORMAL,POKEMON_TYPE_ELECTRIC,,0.1,0.06, 155, 193, 151, VOLT_SWITCH_FAST SPARK_FAST CHARM_FAST THUNDER_SHOCK_FAST,BRICK_BREAK THUNDER_PUNCH WILD_CHARGE SKULL_BASH, , THUNDER, 10000,25, , 
27,SANDSHREW,,POKEMON_TYPE_GROUND,,0.5,0.1, 137, 126, 120, SCRATCH_FAST MUD_SHOT_FAST,DIG ROCK_SLIDE SAND_TOMB, , ROCK_TOMB, 50000,50, , 
27,SANDSHREW,ALOLA,POKEMON_TYPE_ICE,POKEMON_TYPE_STEEL,0.5,0.1, 137, 125, 129, METAL_CLAW_FAST POWDER_SNOW_FAST,BLIZZARD GYRO_BALL NIGHT_SLASH, , , 50000,50, , 
27,SANDSHREW,NORMAL,POKEMON_TYPE_GROUND,,0.5,0.1, 137, 126, 120, SCRATCH_FAST MUD_SHOT_FAST,DIG ROCK_SLIDE SAND_TOMB, , ROCK_TOMB, 50000,50, , 
27,SANDSHREW,PURIFIED,POKEMON_TYPE_GROUND,,0.5,0.1, 137, 126, 120, SCRATCH_FAST MUD_SHOT_FAST,DIG ROCK_SLIDE SAND_TOMB, , ROCK_TOMB, 40000,40, , 
27,SANDSHREW,SHADOW,POKEMON_TYPE_GROUND,,0.05,0.1, 137, 126, 120, SCRATCH_FAST MUD_SHOT_FAST,DIG ROCK_SLIDE SAND_TOMB, , ROCK_TOMB, 60000,60, 3000, 3
28,SANDSLASH,,POKEMON_TYPE_GROUND,,0.2,0.06, 181, 182, 175, METAL_CLAW_FAST MUD_SHOT_FAST,EARTHQUAKE ROCK_TOMB BULLDOZE, , , 50000,50, , 
28,SANDSLASH,ALOLA,POKEMON_TYPE_ICE,POKEMON_TYPE_STEEL,0.2,0.06, 181, 177, 195, METAL_CLAW_FAST POWDER_SNOW_FAST,BLIZZARD GYRO_BALL BULLDOZE ICE_PUNCH, , , 50000,50, , 
28,SANDSLASH,NORMAL,POKEMON_TYPE_GROUND,,0.2,0.06, 181, 182, 175, METAL_CLAW_FAST MUD_SHOT_FAST,EARTHQUAKE ROCK_TOMB BULLDOZE, , , 50000,50, , 
28,SANDSLASH,PURIFIED,POKEMON_TYPE_GROUND,,0.2,0.06, 181, 182, 175, METAL_CLAW_FAST MUD_SHOT_FAST,EARTHQUAKE ROCK_TOMB BULLDOZE, , , 40000,40, , 
28,SANDSLASH,SHADOW,POKEMON_TYPE_GROUND,,0.05,0.06, 181, 182, 175, METAL_CLAW_FAST MUD_SHOT_FAST,EARTHQUAKE ROCK_TOMB BULLDOZE, , , 60000,60, 3000, 3
29,NIDORAN,,POKEMON_TYPE_POISON,,0.5,0.15, 146, 86, 89, BITE_FAST POISON_STING_FAST,POISON_FANG BODY_SLAM SLUDGE_BOMB, , , 50000,50, , 
29,NIDORAN,NORMAL,POKEMON_TYPE_POISON,,0.5,0.15, 146, 86, 89, BITE_FAST POISON_STING_FAST,POISON_FANG BODY_SLAM SLUDGE_BOMB, , , 50000,50, , 
29,NIDORAN,PURIFIED,POKEMON_TYPE_POISON,,0.5,0.15, 146, 86, 89, BITE_FAST POISON_STING_FAST,POISON_FANG BODY_SLAM SLUDGE_BOMB, , , 40000,40, , 
29,NIDORAN,SHADOW,POKEMON_TYPE_POISON,,0.05,0.15, 146, 86, 89, BITE_FAST POISON_STING_FAST,POISON_FANG BODY_SLAM SLUDGE_BOMB, , , 60000,60, 3000, 3
